Species_ID_shark-references,Genus,Species,Author,,
85,Aculeola,nigra,"DE BUEN, 1959",,
112,Aetobatus,flagellum,"(BLOCH & SCHNEIDER, 1801)",,
9963,Aetobatus,laticeps,"(GILL, 1865)",,
118,Aetobatus,narinari,"(EUPHRASEN, 1790)",,
13830,Aetobatus,narutobiei,"WHITE, FURUMITSU & YAMAGUCHI, 2013",,
119,Aetobatus,ocellatus,"(KUHL, 1823)",,
14099,Aetomylaeus,asperrimus,"(GILBERT, 1898)",,
14100,Aetomylaeus,bovinus,"(GEOFFROY SAINT-HILAIRE, 1817)",,
14405,Aetomylaeus,caeruleofasciatus,"WHITE, LAST & BAJE, 2016",,
138,Aetomylaeus,maculatus,"(GRAY, 1834)",,
139,Aetomylaeus,milvus,"(MÜLLER & HENLE, 1841)",,
140,Aetomylaeus,nichofii,"(BLOCH & SCHNEIDER, 1801)",,
143,Aetomylaeus,vespertilio,"(BLEEKER, 1852)",,
189,Alopias,pelagicus,"NAKAMURA, 1935",,
194,Alopias,superciliosus,"(LOWE, 1841)",,
198,Alopias,vulpinus,"(BONNATERRE, 1788)",,
203,Amblyraja,badia,"(GARMAN, 1899)",,
204,Amblyraja,doellojuradoi,"(POZZI, 1935)",,
205,Amblyraja,frerichsi,"(KREFFT, 1968)",,
206,Amblyraja,georgiana,"(NORMAN, 1938)",,
207,Amblyraja,hyperborea,"(COLLETT, 1879)",,
208,Amblyraja,jenseni,"(BIGELOW & SCHROEDER, 1950)",,
209,Amblyraja,radiata,"(DONOVAN, 1808)",,
210,Amblyraja,reversa,"(LLOYD, 1906)",,
211,Amblyraja,robertsi,"(HULLEY, 1970)",,
212,Amblyraja,taaf,"(MEISSNER, 1987)",,
223,Anacanthobatis,americanus,"BIGELOW & SCHROEDER, 1962",,
225,Anacanthobatis,donghaiensis,"(DENG, XIONG & ZHAN, 1983)",,
228,Anacanthobatis,folirostris,"(BIGELOW & SCHROEDER, 1951)",,
229,Anacanthobatis,longirostris,"BIGELOW & SCHROEDER, 1962",,
230,Anacanthobatis,marmoratus,"(VON BONDE & SWART, 1923)",,
274,Anoxypristis,cuspidata,"(LATHAM, 1794)",,
